drop_id,drop_path,category,container_path,container_type,weight,item_id,quantity_min,quantity_max
Drops_Plant_Crop_Apple_StageFinal,Server/Drops/Crop/Apple/Drops_Plant_Crop_Apple_StageFinal.json,Crop,Container/Containers[0],Single,,Plant_Fruit_Apple,,
Drops_Plant_Crop_Apple_StageFinal,Server/Drops/Crop/Apple/Drops_Plant_Crop_Apple_StageFinal.json,Crop,Container/Containers[1],Single,90,Ingredient_Life_Essence,0,1
Drops_Plant_Crop_Apple_StageFinal_Harvest,Server/Drops/Crop/Apple/Drops_Plant_Crop_Apple_StageFinal_Harvest.json,Crop,Container/Containers[0],Single,,Plant_Fruit_Apple,,
Drops_Plant_Crop_Apple_StageFinal_Harvest,Server/Drops/Crop/Apple/Drops_Plant_Crop_Apple_StageFinal_Harvest.json,Crop,Container/Containers[1],Single,90,Ingredient_Life_Essence,0,1
Drops_Plant_Crop_Aubergine_Block,Server/Drops/Crop/Aubergine/Drops_Plant_Crop_Aubergine_Block.json,Crop,Container/Containers[0],Single,100.0,Plant_Seeds_Aubergine,,
Drops_Plant_Crop_Aubergine_Eternal_Block,Server/Drops/Crop/Aubergine/Drops_Plant_Crop_Aubergine_Eternal_Block.json,Crop,Container/Containers[0],Single,100,Plant_Seeds_Aubergine_Eternal,,
Drops_Plant_Crop_Aubergine_Eternal_Stage1,Server/Drops/Crop/Aubergine/Drops_Plant_Crop_Aubergine_Eternal_Stage1.json,Crop,Container/Containers[0],Single,100,Plant_Seeds_Aubergine_Eternal,,
Drops_Plant_Crop_Aubergine_Eternal_Stage2,Server/Drops/Crop/Aubergine/Drops_Plant_Crop_Aubergine_Eternal_Stage2.json,Crop,Container/Containers[0],Single,100,Plant_Seeds_Aubergine_Eternal,,
Drops_Plant_Crop_Aubergine_Eternal_StageFinal,Server/Drops/Crop/Aubergine/Drops_Plant_Crop_Aubergine_Eternal_StageFinal.json,Crop,Container/Containers[0],Single,,Plant_Crop_Aubergine_Item,,
Drops_Plant_Crop_Aubergine_Eternal_StageFinal,Server/Drops/Crop/Aubergine/Drops_Plant_Crop_Aubergine_Eternal_StageFinal.json,Crop,Container/Containers[1],Single,100,Ingredient_Life_Essence,4,5
Drops_Plant_Crop_Aubergine_Eternal_StageFinal,Server/Drops/Crop/Aubergine/Drops_Plant_Crop_Aubergine_Eternal_StageFinal.json,Crop,Container/Containers[2],Single,,Plant_Seeds_Aubergine_Eternal,,
Drops_Plant_Crop_Aubergine_Eternal_StageFinal_Harvest,Server/Drops/Crop/Aubergine/Drops_Plant_Crop_Aubergine_Eternal_StageFinal_Harvest.json,Crop,Container/Containers[0],Single,,Plant_Crop_Aubergine_Item,,
Drops_Plant_Crop_Aubergine_Eternal_StageFinal_Harvest,Server/Drops/Crop/Aubergine/Drops_Plant_Crop_Aubergine_Eternal_StageFinal_Harvest.json,Crop,Container/Containers[1],Single,100,Ingredient_Life_Essence,4,5
Drops_Plant_Crop_Aubergine_Stage1,Server/Drops/Crop/Aubergine/Drops_Plant_Crop_Aubergine_Stage1.json,Crop,Container/Containers[0],Single,100.0,Plant_Seeds_Aubergine,,
Drops_Plant_Crop_Aubergine_Stage2,Server/Drops/Crop/Aubergine/Drops_Plant_Crop_Aubergine_Stage2.json,Crop,Container/Containers[0],Single,100.0,Plant_Seeds_Aubergine,,
Drops_Plant_Crop_Aubergine_StageFinal,Server/Drops/Crop/Aubergine/Drops_Plant_Crop_Aubergine_StageFinal.json,Crop,Container/Containers[0],Single,,Plant_Crop_Aubergine_Item,,
Drops_Plant_Crop_Aubergine_StageFinal,Server/Drops/Crop/Aubergine/Drops_Plant_Crop_Aubergine_StageFinal.json,Crop,Container/Containers[1],Single,,Ingredient_Life_Essence,5,8
Drops_Plant_Crop_Aubergine_StageFinal,Server/Drops/Crop/Aubergine/Drops_Plant_Crop_Aubergine_StageFinal.json,Crop,Container/Containers[2],Single,0.5,Plant_Seeds_Aubergine_Eternal,1,1
Drops_Plant_Crop_Aubergine_StageFinal_Harvest,Server/Drops/Crop/Aubergine/Drops_Plant_Crop_Aubergine_StageFinal_Harvest.json,Crop,Container/Containers[0],Single,,Plant_Crop_Aubergine_Item,,
Drops_Plant_Crop_Aubergine_StageFinal_Harvest,Server/Drops/Crop/Aubergine/Drops_Plant_Crop_Aubergine_StageFinal_Harvest.json,Crop,Container/Containers[1],Single,,Ingredient_Life_Essence,5,8
Drops_Plant_Crop_Aubergine_StageFinal_Harvest,Server/Drops/Crop/Aubergine/Drops_Plant_Crop_Aubergine_StageFinal_Harvest.json,Crop,Container/Containers[2],Single,0.5,Plant_Seeds_Aubergine_Eternal,1,1
Drops_Plant_Crop_Berry_Block,Server/Drops/Crop/Berry/Drops_Plant_Crop_Berry_Block.json,Crop,Container/Containers[0],Single,,Ingredient_Fibre,1,2
Drops_Plant_Crop_Berry_Block,Server/Drops/Crop/Berry/Drops_Plant_Crop_Berry_Block.json,Crop,Container/Containers[1],Single,,Ingredient_Stick,1,2
Drops_Plant_Crop_Berry_Stage1,Server/Drops/Crop/Berry/Drops_Plant_Crop_Berry_Stage1.json,Crop,Container/Containers[0],Single,100,Plant_Crop_Berry_Block,,
Drops_Plant_Crop_Berry_Stage2,Server/Drops/Crop/Berry/Drops_Plant_Crop_Berry_Stage2.json,Crop,Container/Containers[0],Single,100,Plant_Crop_Berry_Block,,
Drops_Plant_Crop_Berry_Stage3,Server/Drops/Crop/Berry/Drops_Plant_Crop_Berry_Stage3.json,Crop,Container/Containers[0],Single,100,Plant_Crop_Berry_Block,,
Drops_Plant_Crop_Berry_StageFinal,Server/Drops/Crop/Berry/Drops_Plant_Crop_Berry_StageFinal.json,Crop,Container/Containers[0],Single,,Plant_Fruit_Berries_Red,1,1
Drops_Plant_Crop_Berry_StageFinal,Server/Drops/Crop/Berry/Drops_Plant_Crop_Berry_StageFinal.json,Crop,Container/Containers[1],Single,3.0,Plant_Fruit_Berries_Red,1,1
Drops_Plant_Crop_Berry_StageFinal,Server/Drops/Crop/Berry/Drops_Plant_Crop_Berry_StageFinal.json,Crop,Container/Containers[2],Single,5,Ingredient_Life_Essence,1,1
Drops_Plant_Crop_Berry_StageFinal,Server/Drops/Crop/Berry/Drops_Plant_Crop_Berry_StageFinal.json,Crop,Container/Containers[3],Single,20,Ingredient_Stick,,
Drops_Plant_Crop_Berry_StageFinal_Harvest,Server/Drops/Crop/Berry/Drops_Plant_Crop_Berry_StageFinal_Harvest.json,Crop,Container/Containers[0],Single,,Plant_Fruit_Berries_Red,1,1
Drops_Plant_Crop_Berry_StageFinal_Harvest,Server/Drops/Crop/Berry/Drops_Plant_Crop_Berry_StageFinal_Harvest.json,Crop,Container/Containers[1],Single,3.0,Plant_Fruit_Berries_Red,1,1
Drops_Plant_Crop_Berry_StageFinal_Harvest,Server/Drops/Crop/Berry/Drops_Plant_Crop_Berry_StageFinal_Harvest.json,Crop,Container/Containers[2],Single,5,Ingredient_Life_Essence,1,1
Drops_Plant_Crop_Berry_StageFinal_Harvest,Server/Drops/Crop/Berry/Drops_Plant_Crop_Berry_StageFinal_Harvest.json,Crop,Container/Containers[3],Single,20,Ingredient_Stick,,
Drops_Plant_Crop_Berry_Wet_Block,Server/Drops/Crop/Berry/Drops_Plant_Crop_Berry_Wet_Block.json,Crop,Container/Containers[0],Single,,Ingredient_Fibre,1,2
Drops_Plant_Crop_Berry_Wet_Block,Server/Drops/Crop/Berry/Drops_Plant_Crop_Berry_Wet_Block.json,Crop,Container/Containers[1],Single,,Ingredient_Stick,1,2
Drops_Plant_Crop_Berry_Wet_Stage1,Server/Drops/Crop/Berry/Drops_Plant_Crop_Berry_Wet_Stage1.json,Crop,Container/Containers[0],Single,100,Plant_Crop_Berry_Wet_Block,,
Drops_Plant_Crop_Berry_Wet_Stage2,Server/Drops/Crop/Berry/Drops_Plant_Crop_Berry_Wet_Stage2.json,Crop,Container/Containers[0],Single,100,Plant_Crop_Berry_Wet_Block,,
Drops_Plant_Crop_Berry_Wet_Stage3,Server/Drops/Crop/Berry/Drops_Plant_Crop_Berry_Wet_Stage3.json,Crop,Container/Containers[0],Single,100,Plant_Crop_Berry_Wet_Block,,
Drops_Plant_Crop_Berry_Wet_StageFinal,Server/Drops/Crop/Berry/Drops_Plant_Crop_Berry_Wet_StageFinal.json,Crop,Container/Containers[0],Single,,Plant_Fruit_Berries_Red,1,1
Drops_Plant_Crop_Berry_Wet_StageFinal,Server/Drops/Crop/Berry/Drops_Plant_Crop_Berry_Wet_StageFinal.json,Crop,Container/Containers[1],Single,3.0,Plant_Fruit_Berries_Red,1,1
Drops_Plant_Crop_Berry_Wet_StageFinal,Server/Drops/Crop/Berry/Drops_Plant_Crop_Berry_Wet_StageFinal.json,Crop,Container/Containers[2],Single,5,Ingredient_Life_Essence,1,1
Drops_Plant_Crop_Berry_Wet_StageFinal,Server/Drops/Crop/Berry/Drops_Plant_Crop_Berry_Wet_StageFinal.json,Crop,Container/Containers[3],Single,20,Ingredient_Stick,,
Drops_Plant_Crop_Berry_Wet_StageFinal_Harvest,Server/Drops/Crop/Berry/Drops_Plant_Crop_Berry_Wet_StageFinal_Harvest.json,Crop,Container/Containers[0],Single,,Plant_Fruit_Berries_Red,1,1
Drops_Plant_Crop_Berry_Wet_StageFinal_Harvest,Server/Drops/Crop/Berry/Drops_Plant_Crop_Berry_Wet_StageFinal_Harvest.json,Crop,Container/Containers[1],Single,3.0,Plant_Fruit_Berries_Red,1,1
Drops_Plant_Crop_Berry_Wet_StageFinal_Harvest,Server/Drops/Crop/Berry/Drops_Plant_Crop_Berry_Wet_StageFinal_Harvest.json,Crop,Container/Containers[2],Single,5,Ingredient_Life_Essence,1,1
Drops_Plant_Crop_Berry_Wet_StageFinal_Harvest,Server/Drops/Crop/Berry/Drops_Plant_Crop_Berry_Wet_StageFinal_Harvest.json,Crop,Container/Containers[3],Single,20,Ingredient_Stick,,
Drops_Plant_Crop_Berry_Winter_Block,Server/Drops/Crop/Berry/Drops_Plant_Crop_Berry_Winter_Block.json,Crop,Container/Containers[0],Single,,Ingredient_Fibre,1,2
Drops_Plant_Crop_Berry_Winter_Block,Server/Drops/Crop/Berry/Drops_Plant_Crop_Berry_Winter_Block.json,Crop,Container/Containers[1],Single,,Ingredient_Stick,1,2
