role_name,mob_status,drop_id,drop_path,container_path,container_type,weight,item_id,quantity_min,quantity_max
Antelope,preserved,Drop_Antelope,Server/Drops/NPCs/Wildlife/Drop_Antelope.json,Container/Containers[0]/Containers[0],Single,100,Food_Wildmeat_Raw,1,2
Antelope,preserved,Drop_Antelope,Server/Drops/NPCs/Wildlife/Drop_Antelope.json,Container/Containers[1]/Containers[0],Single,100,Ingredient_Hide_Light,1,2
Archaeopteryx,preserved,Drop_Archaeopteryx,Server/Drops/NPCs/Flying_Beast/Drop_Archaeopteryx.json,Container/Containers[0]/Containers[0],Single,100,Food_Wildmeat_Raw,1,1
Archaeopteryx,preserved,Drop_Archaeopteryx,Server/Drops/NPCs/Flying_Beast/Drop_Archaeopteryx.json,Container/Containers[1]/Containers[0],Single,100,Ingredient_Feathers_Blue,1,2
Armadillo,preserved,Drop_Armadillo,Server/Drops/NPCs/Wildlife/Drop_Armadillo.json,Container/Containers[0]/Containers[0],Single,100,Food_Wildmeat_Raw,1,2
Armadillo,preserved,Drop_Armadillo,Server/Drops/NPCs/Wildlife/Drop_Armadillo.json,Container/Containers[1]/Containers[0],Single,100,Ingredient_Chitin_Sturdy,1,1
Bear_Grizzly,suppressed,Drop_Bear_Grizzly,Server/Drops/NPCs/Beast/Drop_Bear_Grizzly.json,Container/Containers[0]/Containers[0],Single,100,Ingredient_Hide_Heavy,1,2
Bear_Grizzly,suppressed,Drop_Bear_Grizzly,Server/Drops/NPCs/Beast/Drop_Bear_Grizzly.json,Container/Containers[1]/Containers[0],Single,100,Food_Wildmeat_Raw,2,3
Bear_Polar,suppressed,Drop_Bear_Polar,Server/Drops/NPCs/Beast/Drop_Bear_Polar.json,Container/Containers[0]/Containers[0],Single,100,Ingredient_Hide_Heavy,2,3
Bear_Polar,suppressed,Drop_Bear_Polar,Server/Drops/NPCs/Beast/Drop_Bear_Polar.json,Container/Containers[1]/Containers[0],Single,100,Food_Wildmeat_Raw,2,3
Bison,preserved,Drop_Bison,Server/Drops/NPCs/Livestock/Drop_Bison.json,Container/Containers[0]/Containers[0],Single,100,Food_Beef_Raw,2,3
Bison,preserved,Drop_Bison,Server/Drops/NPCs/Livestock/Drop_Bison.json,Container/Containers[1]/Containers[0],Single,100,Ingredient_Hide_Medium,2,3
Bluebird,preserved,Drop_Bluebird,Server/Drops/NPCs/Flying_Critter/Drop_Bluebird.json,Container/Containers[0]/Containers[0],Single,100,Food_Wildmeat_Raw,1,1
Bluebird,preserved,Drop_Bluebird,Server/Drops/NPCs/Flying_Critter/Drop_Bluebird.json,Container/Containers[1]/Containers[0],Single,100,Ingredient_Feathers_Blue,1,1
Bluegill,preserved,Drop_Bluegill,Server/Drops/NPCs/Swimming_Wildlife/Drop_Bluegill.json,Container/Containers[0]/Containers[0],Single,100,Food_Fish_Raw,1,1
Boar,preserved,Drop_Boar,Server/Drops/NPCs/Livestock/Drop_Boar.json,Container/Containers[0]/Containers[0],Single,100,Food_Wildmeat_Raw,1,2
Boar,preserved,Drop_Boar,Server/Drops/NPCs/Livestock/Drop_Boar.json,Container/Containers[1]/Containers[0],Single,100,Ingredient_Hide_Medium,1,2
Bramblekin,preserved,Drop_Bramblekin,Server/Drops/NPCs/Intelligent/Drop_Bramblekin.json,Container/Containers[0]/Containers[0],Single,50,Food_Wildmeat_Raw,1,4
